topic_0,topic_1,topic_2,topic_3,topic_4
0.02944236087275173,0.029154725955247117,0.8839204884804807,0.028636097761681113,0.0288463269298393
0.22303022846793716,0.002055369424009446,0.002053544295726227,0.7708001972518105,0.0020606605605167035
0.8920998778493361,0.10080629689205675,0.0023422604745047216,0.0023824752213297993,0.002369089562772516
0.9934478524459731,0.001645939935835388,0.0016327540249383681,0.0016554033883687236,0.0016180502048845314
0.4572792322797424,0.02016795856424428,0.020672053994505647,0.30830877813297763,0.19357197702853007
0.5731124898052554,0.0011693294569496975,0.42339531275133835,0.0011648330697372892,0.001158034916719337
0.9954015109749088,0.0011569632602436211,0.0011514200795350656,0.0011444681967050098,0.0011456374886076772
0.0007702262829396266,0.9641346175265304,0.0007656629854366769,0.0335664648079887,0.0007630283971049062
0.023178164229322364,0.31817054952589924,0.0017171988774953753,0.32353639137708795,0.33339769599019503
0.7066813244503314,0.0015856805306305097,0.001579915298550228,0.2885671310673381,0.0015859486531498647
0.0012492892505569706,0.49661353140101755,0.001233739838590069,0.4996612929645253,0.0012421465453099786
0.0010431999163477027,0.9958064732140715,0.0010568310365916013,0.0010522064954124194,0.0010412893375768076
0.3514273130428633,0.6452891513272636,0.001103527243087629,0.0010873499552870145,0.0010926584314984807
0.11017911209106258,0.8842301644760707,0.0018702255485866274,0.0018515969026578075,0.0018689009816222721
0.001229902252039549,0.0012230731879219903,0.0012199639928151382,0.5432123411843851,0.4531147193828382
0.001156283388061912,0.6755136759542756,0.0011593906405162383,0.3210081020299753,0.0011625479871710427
0.29696659295804967,0.0010707960752513682,0.3270857923571842,0.37381025103625526,0.0010665675732594588
0.001261031571086041,0.4539988026122072,0.0012520368477181554,0.001251147073690485,0.5422369818952981
0.995242530812714,0.001196023819514749,0.0011918293444338694,0.0011847818241308252,0.0011848341992065415
0.0012164134355798636,0.99513245216353,0.0012057922933462759,0.0012322730125898956,0.0012130690949541324
0.181292629769135,0.5324028214197487,0.001512323714925895,0.250526967692943,0.03426525740324736
0.001213902972728973,0.7770561032283408,0.21931335355428222,0.0012053147423694345,0.001211325502278396
0.0012186659400551367,0.0012188647759469266,0.7782401594835787,0.21809762273335537,0.001224687067063782
0.0010153769130731172,0.11382284203579944,0.0010310639905892706,0.8831130047948532,0.0010177122656849407
0.0017260430459990694,0.2742851302926568,0.0017197884594794802,0.720536888335421,0.0017321498664438397
0.002097014051872032,0.002095840982890902,0.00209983637297679,0.9915990763878908,0.0021082322043694786
0.001650053817920794,0.9934478305656472,0.0016347207323653549,0.001637136425438637,0.0016302584586279684
0.25881106679616817,0.21208012213135571,0.3293874440748873,0.0034218477111879293,0.19629951928640094
0.0008442352346257286,0.7685962058694694,0.0008488182070329123,0.0008367941723638299,0.22887394651650805
