model,macro_roc_auc_ovr,macro_pr_auc_ovr
Naive_Bayes,0.8132382323558793,0.6360601831821219
Logistic_Regression,0.8300812749342161,0.6238756112790874
Linear_SVM,0.8211106703753763,0.6155510090962792
