model,accuracy,macro_precision,macro_recall,macro_f1
Logistic_Regression,0.6,0.5967105263157895,0.5581550802139037,0.5701173222912354
Linear_SVM,0.5555555555555556,0.5083333333333333,0.4937611408199643,0.49462397179788486
Naive_Bayes,0.4888888888888889,0.2540106951871658,0.3716577540106952,0.29322638146167557
