Gene,logFC,pvalue,literature_mentions,document_occurrences,cooccurrence_score,Entrez Gene Name,Location,Type(s),Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19
SLURP2,2.475,1.09e-22,0,0,0,secreted LY6/PLAUR domain containing 2,Cytoplasm,other,,,,,,,,,,,,,,
LPP,-2.442,1.4e-22,0,0,0,LIM domain containing preferred translocation partner in lipoma,Nucleus,other,,,,,,,,,,,,,,
PPP1R15A,-2.051,1.42e-22,0,0,0,protein phosphatase 1 regulatory subunit 15A,Cytoplasm,other,,,,,,,,,,,,,,
RNASE7,3.868,1.47e-22,0,0,0,ribonuclease A family member 7,Extracellular Space,enzyme,,,,,,,,,,,,,,
ACACB,-2.716,1.75e-22,0,0,0,acetyl-CoA carboxylase beta,Cytoplasm,enzyme,,,,,,,,,,,,,,
MAD2L1,2.447,2.34e-22,0,0,0,mitotic arrest deficient 2 like 1,Nucleus,other,,,,,,,,,,,,,,
FOSB,-4.455,2.74e-22,0,0,0,"FosB proto-oncogene, AP-1 transcription factor subunit",Nucleus,transcription regulator,,,,,,,,,,,,,,
PPP1R3B,-2.443,2.86e-22,0,0,0,protein phosphatase 1 regulatory subunit 3B,Cytoplasm,phosphatase,,,,,,,,,,,,,,
WDR72,-3.134,3.98e-22,0,0,0,WD repeat domain 72,Cytoplasm,other,,,,,,,,,,,,,,
PRSS53,2.948,4.8e-22,0,0,0,serine protease 53,Other,other,,,,,,,,,,,,,,
CDC20,2.412,6.21e-22,0,0,0,cell division cycle 20,Nucleus,other,,,,,,,,,,,,,,
KREMEN1,2.194,6.28e-22,0,0,0,kringle containing transmembrane protein 1,Plasma Membrane,other,,,,,,,,,,,,,,
OAS3,2.841,6.54e-22,0,0,0,2'-5'-oligoadenylate synthetase 3,Cytoplasm,enzyme,,,,,,,,,,,,,,
XAF1,2.206,6.84e-22,0,0,0,XIAP associated factor 1,Nucleus,other,,,,,,,,,,,,,,
CD2,3.122,9.020000000000001e-22,0,0,0,CD2 molecule,Plasma Membrane,transmembrane receptor,,,,,,,,,,,,,,
TNFAIP3,-2.179,1.1200000000000002e-21,1,1,1,TNF alpha induced protein 3,Nucleus,enzyme,,,,,,,,,,,,,,
MAOA,-2.13,1.2800000000000001e-21,0,0,0,monoamine oxidase A,Cytoplasm,enzyme,,,,,,,,,,,,,,
CHAC1,3.092,1.3300000000000001e-21,0,0,0,ChaC glutathione specific gamma-glutamylcyclotransferase 1,Cytoplasm,enzyme,,,,,,,,,,,,,,
TSC22D3,-2.606,1.65e-21,0,0,0,TSC22 domain family member 3,Nucleus,transcription regulator,,,,,,,,,,,,,,
RGMA,-2.011,1.68e-21,0,0,0,repulsive guidance molecule BMP co-receptor a,Plasma Membrane,other,,,,,,,,,,,,,,
CXCL13,4.029,1.85e-21,0,0,0,C-X-C motif chemokine ligand 13,Extracellular Space,cytokine,,,,,,,,,,,,,,
FOXC1,-2.025,1.9000000000000003e-21,0,0,0,forkhead box C1,Nucleus,transcription regulator,,,,,,,,,,,,,,
GRIA2,-2.573,1.92e-21,0,0,0,glutamate ionotropic receptor AMPA type subunit 2,Plasma Membrane,ion channel,,,,,,,,,,,,,,
PRKCQ,2.864,2.07e-21,0,0,0,protein kinase C theta,Cytoplasm,kinase,,,,,,,,,,,,,,
ASPM,2.341,2.4400000000000002e-21,0,0,0,assembly factor for spindle microtubules,Nucleus,other,,,,,,,,,,,,,,
FRYL,-2.168,2.5600000000000003e-21,0,0,0,FRY like transcription coactivator,Other,other,,,,,,,,,,,,,,
S100A7,3.705,2.7800000000000003e-21,0,0,0,S100 calcium binding protein A7,Cytoplasm,other,,,,,,,,,,,,,,
GALNT6,2.669,3.0300000000000003e-21,0,0,0,polypeptide N-acetylgalactosaminyltransferase 6,Cytoplasm,enzyme,,,,,,,,,,,,,,
IMMP2L,-2.09,3.0600000000000003e-21,0,0,0,inner mitochondrial membrane peptidase subunit 2,Cytoplasm,peptidase,,,,,,,,,,,,,,
ELAPOR1,-2.275,3.4300000000000004e-21,0,0,0,endosome-lysosome associated apoptosis and autophagy regulator 1,Plasma Membrane,other,,,,,,,,,,,,,,
IFI44,2.9,3.65e-21,0,0,0,interferon induced protein 44,Other,other,,,,,,,,,,,,,,
CXCL1,3.403,3.8100000000000004e-21,2,2,2,C-X-C motif chemokine ligand 1,Extracellular Space,cytokine,,,,,,,,,,,,,,
S100A9,4.62,4.21e-21,4,2,2,S100 calcium binding protein A9,Cytoplasm,other,,,,,,,,,,,,,,
MEGF10,-2.355,4.6300000000000004e-21,0,0,0,multiple EGF like domains 10,Plasma Membrane,transmembrane receptor,,,,,,,,,,,,,,
PADI2,-2.322,5.100000000000001e-21,0,0,0,peptidyl arginine deiminase 2,Cytoplasm,enzyme,,,,,,,,,,,,,,
HBP1,-2.371,5.290000000000001e-21,0,0,0,HMG-box transcription factor 1,Nucleus,transcription regulator,,,,,,,,,,,,,,
C7,-2.662,5.72e-21,0,0,0,complement C7,Extracellular Space,other,,,,,,,,,,,,,,
PDE9A,-2.373,5.850000000000001e-21,0,0,0,phosphodiesterase 9A,Cytoplasm,enzyme,,,,,,,,,,,,,,
KIF2C,2.123,6.310000000000001e-21,0,0,0,kinesin family member 2C,Nucleus,other,,,,,,,,,,,,,,
P4HA1,-2.016,6.83e-21,0,0,0,prolyl 4-hydroxylase subunit alpha 1,Cytoplasm,enzyme,,,,,,,,,,,,,,
SEPTIN11,-2.348,7.580000000000001e-21,0,0,0,septin 11,Nucleus,other,,,,,,,,,,,,,,
FXYD6,-2.211,8.580000000000001e-21,0,0,0,FXYD domain containing ion transport regulator 6,Plasma Membrane,ion channel,,,,,,,,,,,,,,
CENPK,2.012,8.770000000000001e-21,0,0,0,centromere protein K,Nucleus,other,,,,,,,,,,,,,,
PDK4,-3.344,9.170000000000001e-21,0,0,0,pyruvate dehydrogenase kinase 4,Cytoplasm,kinase,,,,,,,,,,,,,,
CEACAM7,-2.387,1.14e-20,0,0,0,CEA cell adhesion molecule 7,Plasma Membrane,other,,,,,,,,,,,,,,
CDK1,2.343,1.14e-20,0,0,0,cyclin dependent kinase 1,Nucleus,kinase,,,,,,,,,,,,,,
UBE2T,2.016,1.2e-20,0,0,0,ubiquitin conjugating enzyme E2 T,Nucleus,enzyme,,,,,,,,,,,,,,
MFSD4A,-2.545,1.3e-20,0,0,0,major facilitator superfamily domain containing 4A,Other,other,,,,,,,,,,,,,,
GATA3,-2.016,1.5e-20,0,0,0,GATA binding protein 3,Nucleus,transcription regulator,,,,,,,,,,,,,,
LTB,2.785,1.64e-20,0,0,0,lymphotoxin beta,Extracellular Space,cytokine,,,,,,,,,,,,,,
SOX9,-2.299,2.01e-20,0,0,0,SRY-box transcription factor 9,Nucleus,transcription regulator,,,,,,,,,,,,,,
KLHDC7B,3.314,3.09e-20,0,0,0,kelch domain containing 7B,Other,other,,,,,,,,,,,,,,
TALAM1,-2.125,3.31e-20,0,0,0,"TALAM1 transcript, MALAT1 antisense RNA",Other,other,,,,,,,,,,,,,,
CHRM3,-2.09,4.33e-20,0,0,0,cholinergic receptor muscarinic 3,Plasma Membrane,G-protein coupled receptor,,,,,,,,,,,,,,
IL6,-4.328,4.54e-20,0,0,0,interleukin 6,Extracellular Space,cytokine,,,,,,,,,,,,,,
CENPE,2.168,5.06e-20,0,0,0,centromere protein E,Nucleus,other,,,,,,,,,,,,,,
PALM2AKAP2,-2.117,7.65e-20,0,0,0,PALM2 and AKAP2 fusion,Plasma Membrane,other,,,,,,,,,,,,,,
KIF20A,2.078,8.39e-20,0,0,0,kinesin family member 20A,Cytoplasm,other,,,,,,,,,,,,,,
DSC2,3.515,8.77e-20,0,0,0,desmocollin 2,Plasma Membrane,other,,,,,,,,,,,,,,
NEDD9,-2.684,8.85e-20,0,0,0,"neural precursor cell expressed, developmentally down-regulated 9",Nucleus,other,,,,,,,,,,,,,,
KCNK5,-2.141,9.31e-20,0,0,0,potassium two pore domain channel subfamily K member 5,Plasma Membrane,ion channel,,,,,,,,,,,,,,
APOL6,2.407,1.02e-19,2,1,1,apolipoprotein L6,Extracellular Space,transporter,,,,,,,,,,,,,,
SOX17,-2.239,1.1e-19,0,0,0,SRY-box transcription factor 17,Nucleus,transcription regulator,,,,,,,,,,,,,,
CD3D,2.721,1.16e-19,0,0,0,CD3 delta subunit of T-cell receptor complex,Plasma Membrane,transmembrane receptor,,,,,,,,,,,,,,
PDLIM3,-2.083,1.16e-19,0,0,0,PDZ and LIM domain 3,Cytoplasm,other,,,,,,,,,,,,,,
GK4P,2.618,1.2e-19,0,0,0,glycerol kinase 4 pseudogene,Other,other,,,,,,,,,,,,,,
HSD3B1,-3.592,1.33e-19,0,0,0,"hydroxy-delta-5-steroid dehydrogenase, 3 beta- and steroid delta-isomerase 1",Cytoplasm,enzyme,,,,,,,,,,,,,,
H2BC8,-2.916,1.51e-19,0,0,0,H2B clustered histone 8,Nucleus,other,,,,,,,,,,,,,,
GBP5,2.67,1.52e-19,0,0,0,guanylate binding protein 5,Cytoplasm,enzyme,,,,,,,,,,,,,,
S100A7A,5.223,2.14e-19,0,0,0,S100 calcium binding protein A7A,Cytoplasm,other,,,,,,,,,,,,,,
SLC26A2,-2.114,2.28e-19,0,0,0,solute carrier family 26 member 2,Plasma Membrane,transporter,,,,,,,,,,,,,,
UST,-2.093,3.02e-19,0,0,0,uronyl 2-sulfotransferase,Cytoplasm,enzyme,,,,,,,,,,,,,,
AHNAK2,-2.572,3.29e-19,0,0,0,AHNAK nucleoprotein 2,Cytoplasm,other,,,,,,,,,,,,,,
GABRP,-2.768,3.38e-19,0,0,0,gamma-aminobutyric acid type A receptor subunit pi,Plasma Membrane,ion channel,,,,,,,,,,,,,,
PLA2G2F,2.192,3.98e-19,0,0,0,phospholipase A2 group IIF,Extracellular Space,enzyme,,,,,,,,,,,,,,
KRT6A,2.738,5.32e-19,0,0,0,keratin 6A,Other,other,,,,,,,,,,,,,,
ACVR1C,-3.952,5.39e-19,0,0,0,activin A receptor type 1C,Plasma Membrane,kinase,,,,,,,,,,,,,,
LCK,2.718,5.86e-19,7,1,1,"LCK proto-oncogene, Src family tyrosine kinase",Cytoplasm,kinase,,,,,,,,,,,,,,
STS,2.146,5.9e-19,0,0,0,steroid sulfatase,Cytoplasm,enzyme,,,,,,,,,,,,,,
DEPP1,-3.463,6.58e-19,0,0,0,DEPP autophagy regulator 1,Cytoplasm,other,,,,,,,,,,,,,,
APOC1,-2.028,6.82e-19,0,0,0,apolipoprotein C1,Extracellular Space,transporter,,,,,,,,,,,,,,
BTNL9,-2.358,7.17e-19,0,0,0,butyrophilin like 9,Plasma Membrane,other,,,,,,,,,,,,,,
KLK7,2.063,8.08e-19,0,0,0,kallikrein related peptidase 7,Extracellular Space,peptidase,,,,,,,,,,,,,,
CCR7,3.012,8.26e-19,1,1,1,C-C motif chemokine receptor 7,Plasma Membrane,G-protein coupled receptor,,,,,,,,,,,,,,
EPCAM,-2.152,8.76e-19,0,0,0,epithelial cell adhesion molecule,Plasma Membrane,other,,,,,,,,,,,,,,
HAO2,-2.929,9.33e-19,0,0,0,hydroxyacid oxidase 2,Cytoplasm,enzyme,,,,,,,,,,,,,,
HNRNPM,-2.051,9.98e-19,0,0,0,heterogeneous nuclear ribonucleoprotein M,Nucleus,other,,,,,,,,,,,,,,
IL6ST,-2.166,1.11e-18,0,0,0,interleukin 6 cytokine family signal transducer,Plasma Membrane,transmembrane receptor,,,,,,,,,,,,,,
LYZ,3.928,1.23e-18,0,0,0,lysozyme,Extracellular Space,enzyme,,,,,,,,,,,,,,
TPX2,2.081,1.43e-18,0,0,0,TPX2 microtubule nucleation factor,Nucleus,other,,,,,,,,,,,,,,
SSPN,-2.363,1.46e-18,0,0,0,sarcospan,Plasma Membrane,other,,,,,,,,,,,,,,
DDIT4,-2.444,1.56e-18,0,0,0,DNA damage inducible transcript 4,Cytoplasm,other,,,,,,,,,,,,,,
CLIC5,-2.089,1.6e-18,0,0,0,chloride intracellular channel 5,Cytoplasm,ion channel,,,,,,,,,,,,,,
CYP2E1,2.151,1.74e-18,0,0,0,cytochrome P450 family 2 subfamily E member 1,Cytoplasm,enzyme,,,,,,,,,,,,,,
PMAIP1,-2.046,1.96e-18,0,0,0,phorbol-12-myristate-13-acetate-induced protein 1,Cytoplasm,other,,,,,,,,,,,,,,
AIM2,2.776,3.15e-18,0,0,0,absent in melanoma 2,Cytoplasm,other,,,,,,,,,,,,,,
DHRS9,2.9,3.87e-18,0,0,0,dehydrogenase/reductase 9,Cytoplasm,enzyme,,,,,,,,,,,,,,
CYP2C18,2.038,4.51e-18,0,0,0,cytochrome P450 family 2 subfamily C member 18,Cytoplasm,enzyme,,,,,,,,,,,,,,
TTK,2.019,4.77e-18,0,0,0,TTK protein kinase,Nucleus,kinase,,,,,,,,,,,,,,
KLRB1,2.1,5.15e-18,0,0,0,killer cell lectin like receptor B1,Plasma Membrane,transmembrane receptor,,,,,,,,,,,,,,
ADAMTS1,-2.512,5.41e-18,0,0,0,ADAM metallopeptidase with thrombospondin type 1 motif 1,Extracellular Space,peptidase,,,,,,,,,,,,,,
TRBC1,2.685,5.51e-18,0,0,0,T cell receptor beta constant 1,Plasma Membrane,other,,,,,,,,,,,,,,
GABBR1,3.034,7.32e-18,0,0,0,gamma-aminobutyric acid type B receptor subunit 1,Plasma Membrane,G-protein coupled receptor,,,,,,,,,,,,,,
PPP1R1A,-3.77,7.57e-18,0,0,0,protein phosphatase 1 regulatory inhibitor subunit 1A,Cytoplasm,phosphatase,,,,,,,,,,,,,,
MOGAT1,-2.498,8.17e-18,0,0,0,monoacylglycerol O-acyltransferase 1,Cytoplasm,enzyme,,,,,,,,,,,,,,
ABCA9,-2.325,9.11e-18,0,0,0,ATP binding cassette subfamily A member 9,Other,transporter,,,,,,,,,,,,,,
TAP2,2.164,9.36e-18,0,0,0,"transporter 2, ATP binding cassette subfamily B member",Cytoplasm,transporter,,,,,,,,,,,,,,
TMEM213,-2.153,9.39e-18,0,0,0,transmembrane protein 213,Other,other,,,,,,,,,,,,,,
CXCL8,4.474,9.58e-18,1,1,1,C-X-C motif chemokine ligand 8,Extracellular Space,cytokine,,,,,,,,,,,,,,
RHPN2,-2.887,9.62e-18,0,0,0,rhophilin Rho GTPase binding protein 2,Cytoplasm,other,,,,,,,,,,,,,,
WFDC12,2.871,1.17e-17,0,0,0,WAP four-disulfide core domain 12,Extracellular Space,other,,,,,,,,,,,,,,
MB,-2.263,1.2e-17,0,0,0,myoglobin,Cytoplasm,transporter,,,,,,,,,,,,,,
GJB2,2.566,1.31e-17,0,0,0,gap junction protein beta 2,Plasma Membrane,transporter,,,,,,,,,,,,,,
ATG9B,2.043,2.07e-17,0,0,0,autophagy related 9B,Cytoplasm,transporter,,,,,,,,,,,,,,
SORBS2,-2.595,2.99e-17,0,0,0,sorbin and SH3 domain containing 2,Plasma Membrane,other,,,,,,,,,,,,,,
CYP1A1,-4.622,3.76e-17,0,0,0,cytochrome P450 family 1 subfamily A member 1,Cytoplasm,enzyme,,,,,,,,,,,,,,
LYPD5,2.13,3.86e-17,0,0,0,LY6/PLAUR domain containing 5,Other,other,,,,,,,,,,,,,,
LIFR,-2.334,4.44e-17,0,0,0,LIF receptor subunit alpha,Plasma Membrane,transmembrane receptor,,,,,,,,,,,,,,
LINC01094,2.073,6.34e-17,0,0,0,long intergenic non-protein coding RNA 1094,Other,other,,,,,,,,,,,,,,
KRT7,-3.222,6.86e-17,0,0,0,keratin 7,Cytoplasm,other,,,,,,,,,,,,,,
UNC93A,2.349,7.6e-17,0,0,0,unc-93 homolog A,Plasma Membrane,other,,,,,,,,,,,,,,
ROPN1,-2.17,8.01e-17,0,0,0,rhophilin associated tail protein 1,Cytoplasm,other,,,,,,,,,,,,,,
DEFB4A,5.163,8.16e-17,0,0,0,defensin beta 4A,Extracellular Space,other,,,,,,,,,,,,,,
PLIN2,-2.206,1.29e-16,0,0,0,perilipin 2,Plasma Membrane,other,,,,,,,,,,,,,,
MYBPC1,-2.428,1.36e-16,0,0,0,myosin binding protein C1,Cytoplasm,other,,,,,,,,,,,,,,
SAPCD1,-2.198,1.42e-16,0,0,0,suppressor APC domain containing 1,Other,other,,,,,,,,,,,,,,
CLSTN2,-2.251,1.42e-16,0,0,0,calsyntenin 2,Plasma Membrane,transporter,,,,,,,,,,,,,,
SERHL2,-3.312,1.46e-16,0,0,0,serine hydrolase like 2,Cytoplasm,enzyme,,,,,,,,,,,,,,
S100A8,3.312,1.54e-16,6,2,2,S100 calcium binding protein A8,Cytoplasm,other,,,,,,,,,,,,,,
TIMP3,-2.143,1.75e-16,0,0,0,TIMP metallopeptidase inhibitor 3,Extracellular Space,other,,,,,,,,,,,,,,
XDH,2.817,1.78e-16,0,0,0,xanthine dehydrogenase,Cytoplasm,enzyme,,,,,,,,,,,,,,
MCM10,2.005,1.85e-16,0,0,0,minichromosome maintenance 10 replication initiation factor,Nucleus,other,,,,,,,,,,,,,,
CD300LG,-2.788,2.28e-16,0,0,0,CD300 molecule like family member g,Plasma Membrane,other,,,,,,,,,,,,,,
GREM2,-2.168,2.35e-16,0,0,0,"gremlin 2, DAN family BMP antagonist",Extracellular Space,other,,,,,,,,,,,,,,
FERMT2,-2.037,2.95e-16,0,0,0,FERM domain containing kindlin 2,Cytoplasm,other,,,,,,,,,,,,,,
SFRP1,-2.234,3.16e-16,0,0,0,secreted frizzled related protein 1,Plasma Membrane,transmembrane receptor,,,,,,,,,,,,,,
CALHM6,2.143,3.29e-16,0,0,0,calcium homeostasis modulator family member 6,Plasma Membrane,transporter,,,,,,,,,,,,,,
PPIF,2.239,3.39e-16,0,0,0,peptidylprolyl isomerase F,Cytoplasm,enzyme,,,,,,,,,,,,,,
LPL,-3.814,3.67e-16,0,0,0,lipoprotein lipase,Cytoplasm,enzyme,,,,,,,,,,,,,,
ACTA2,-2.424,4.02e-16,0,0,0,"actin alpha 2, smooth muscle",Cytoplasm,other,,,,,,,,,,,,,,
APOBEC3A,3.461,4.34e-16,0,0,0,apolipoprotein B mRNA editing enzyme catalytic subunit 3A,Cytoplasm,enzyme,,,,,,,,,,,,,,
ADRB1,-2.074,5.92e-16,0,0,0,adrenoceptor beta 1,Plasma Membrane,G-protein coupled receptor,,,,,,,,,,,,,,
MUC1,-2.215,6.17e-16,0,0,0,"mucin 1, cell surface associated",Plasma Membrane,transmembrane receptor,,,,,,,,,,,,,,
SERPINB4,5.086,6.73e-16,0,0,0,serpin family B member 4,Cytoplasm,other,,,,,,,,,,,,,,
ADH1B,-2.451,7.24e-16,0,0,0,"alcohol dehydrogenase 1B (class I), beta polypeptide",Cytoplasm,enzyme,,,,,,,,,,,,,,
FNIP1,-2.378,7.61e-16,0,0,0,folliculin interacting protein 1,Cytoplasm,other,,,,,,,,,,,,,,
BHLHE41,-2.187,7.78e-16,0,0,0,basic helix-loop-helix family member e41,Nucleus,transcription regulator,,,,,,,,,,,,,,
SH3PXD2A-AS1,2.313,1.01e-15,0,0,0,SH3PXD2A antisense RNA 1,Other,other,,,,,,,,,,,,,,
FGF2,-2.028,1.05e-15,0,0,0,fibroblast growth factor 2,Extracellular Space,growth factor,,,,,,,,,,,,,,
NCALD,-2.28,1.13e-15,0,0,0,neurocalcin delta,Cytoplasm,other,,,,,,,,,,,,,,
CAMK2N1,-2.046,1.26e-15,0,0,0,calcium/calmodulin dependent protein kinase II inhibitor 1,Plasma Membrane,kinase,,,,,,,,,,,,,,
H2BC5,-2.042,1.38e-15,0,0,0,H2B clustered histone 5,Nucleus,other,,,,,,,,,,,,,,
OSMR,-2.404,1.53e-15,0,0,0,oncostatin M receptor,Plasma Membrane,transmembrane receptor,,,,,,,,,,,,,,
KRT6B,2.716,1.74e-15,0,0,0,keratin 6B,Other,other,,,,,,,,,,,,,,
CDO1,-3.13,2.12e-15,0,0,0,cysteine dioxygenase type 1,Cytoplasm,enzyme,,,,,,,,,,,,,,
FGFBP2,-2.31,2.4e-15,0,0,0,fibroblast growth factor binding protein 2,Extracellular Space,other,,,,,,,,,,,,,,
MRAS,-2.129,2.68e-15,0,0,0,muscle RAS oncogene homolog,Plasma Membrane,enzyme,,,,,,,,,,,,,,
GPC6,-2.299,3.92e-15,0,0,0,glypican 6,Plasma Membrane,transmembrane receptor,,,,,,,,,,,,,,
CAVIN2,-2.062,4.19e-15,0,0,0,caveolae associated protein 2,Plasma Membrane,other,,,,,,,,,,,,,,
KLHL18,2.225,4.42e-15,0,0,0,kelch like family member 18,Other,other,,,,,,,,,,,,,,
IGFBP5,-2.227,4.65e-15,0,0,0,insulin like growth factor binding protein 5,Extracellular Space,other,,,,,,,,,,,,,,
AKAP12,-2.19,4.92e-15,0,0,0,A-kinase anchoring protein 12,Cytoplasm,transporter,,,,,,,,,,,,,,
KRT9,3.411,5.1e-15,0,0,0,keratin 9,Cytoplasm,other,,,,,,,,,,,,,,
GPD1,-3.352,5.23e-15,0,0,0,glycerol-3-phosphate dehydrogenase 1,Cytoplasm,enzyme,,,,,,,,,,,,,,
ZC3H11A,-2.077,7.49e-15,0,0,0,zinc finger CCCH-type containing 11A,Nucleus,other,,,,,,,,,,,,,,
IL19,3.337,8.47e-15,0,0,0,interleukin 19,Extracellular Space,cytokine,,,,,,,,,,,,,,
GLDC,-2.09,8.76e-15,0,0,0,glycine decarboxylase,Cytoplasm,enzyme,,,,,,,,,,,,,,
GPRC5A,-2.186,1.04e-14,0,0,0,G protein-coupled receptor class C group 5 member A,Plasma Membrane,G-protein coupled receptor,,,,,,,,,,,,,,
SLC23A2,2.483,1.12e-14,0,0,0,solute carrier family 23 member 2,Plasma Membrane,transporter,,,,,,,,,,,,,,
CDC42BPA,-2.227,1.14e-14,0,0,0,CDC42 binding protein kinase alpha,Cytoplasm,kinase,,,,,,,,,,,,,,
BCL6,-2.131,1.32e-14,0,0,0,BCL6 transcription repressor,Nucleus,transcription regulator,,,,,,,,,,,,,,
TBX3,-2.106,1.37e-14,0,0,0,T-box transcription factor 3,Nucleus,transcription regulator,,,,,,,,,,,,,,
PPARG,-2.433,1.55e-14,0,0,0,peroxisome proliferator activated receptor gamma,Nucleus,ligand-dependent nuclear receptor,,,,,,,,,,,,,,
GRB14,-2.265,1.57e-14,0,0,0,growth factor receptor bound protein 14,Plasma Membrane,other,,,,,,,,,,,,,,
SEC14L4,-2.484,1.77e-14,0,0,0,SEC14 like lipid binding 4,Other,other,,,,,,,,,,,,,,
HMGCS2,-2.187,1.83e-14,0,0,0,3-hydroxy-3-methylglutaryl-CoA synthase 2,Cytoplasm,enzyme,,,,,,,,,,,,,,
CCL22,2.297,1.86e-14,0,0,0,C-C motif chemokine ligand 22,Extracellular Space,cytokine,,,,,,,,,,,,,,
DACT1,-2.258,2.28e-14,0,0,0,dishevelled binding antagonist of beta catenin 1,Cytoplasm,other,,,,,,,,,,,,,,
SNORD3B-2,-2.771,2.31e-14,0,0,0,"small nucleolar RNA, C/D box 3B-2",Other,other,,,,,,,,,,,,,,
AMMECR1,2.502,2.5e-14,0,0,0,AMMECR nuclear protein 1,Nucleus,other,,,,,,,,,,,,,,
WEE1,-2.85,2.66e-14,0,0,0,WEE1 G2 checkpoint kinase,Nucleus,kinase,,,,,,,,,,,,,,
FBXO32,-2.105,3.39e-14,0,0,0,F-box protein 32,Cytoplasm,enzyme,,,,,,,,,,,,,,
SERHL,-3.047,3.79e-14,0,0,0,--,Cytoplasm,other,,,,,,,,,,,,,,
MMP7,-2.362,4.07e-14,0,0,0,matrix metallopeptidase 7,Extracellular Space,peptidase,,,,,,,,,,,,,,
KRT15,-2.116,4.39e-14,0,0,0,keratin 15,Cytoplasm,other,,,,,,,,,,,,,,
PPP1R3C,-2.091,4.9e-14,0,0,0,protein phosphatase 1 regulatory subunit 3C,Cytoplasm,phosphatase,,,,,,,,,,,,,,
GZMA,2.197,5.44e-14,0,0,0,granzyme A,Cytoplasm,peptidase,,,,,,,,,,,,,,
BTC,-3.409,6.06e-14,0,0,0,betacellulin,Extracellular Space,growth factor,,,,,,,,,,,,,,
H2AC8,-2.268,7.43e-14,0,0,0,H2A clustered histone 8,Nucleus,other,,,,,,,,,,,,,,
CES1,-2.272,7.68e-14,0,0,0,carboxylesterase 1,Cytoplasm,enzyme,,,,,,,,,,,,,,
INHBB,-2.035,1.07e-13,0,0,0,inhibin subunit beta B,Extracellular Space,growth factor,,,,,,,,,,,,,,
TIMP4,-3.199,1.14e-13,0,0,0,TIMP metallopeptidase inhibitor 4,Extracellular Space,other,,,,,,,,,,,,,,
RAC2,2.067,1.41e-13,0,0,0,Rac family small GTPase 2,Cytoplasm,enzyme,,,,,,,,,,,,,,
FADS2,-2.78,1.5e-13,0,0,0,fatty acid desaturase 2,Plasma Membrane,enzyme,,,,,,,,,,,,,,
DNER,-2.458,1.5e-13,0,0,0,delta/notch like EGF repeat containing,Plasma Membrane,transmembrane receptor,,,,,,,,,,,,,,
HTR3A,3.104,2.14e-13,0,0,0,5-hydroxytryptamine receptor 3A,Plasma Membrane,ion channel,,,,,,,,,,,,,,
ZBTB16,-2.611,2.37e-13,0,0,0,zinc finger and BTB domain containing 16,Nucleus,transcription regulator,,,,,,,,,,,,,,
CD274,2.85,2.5e-13,2,1,1,CD274 molecule,Plasma Membrane,transmembrane receptor,,,,,,,,,,,,,,
ACKR1,-2.129,2.54e-13,0,0,0,atypical chemokine receptor 1 (Duffy blood group),Plasma Membrane,G-protein coupled receptor,,,,,,,,,,,,,,
NAMPT,-2.252,3.17e-13,0,0,0,nicotinamide phosphoribosyltransferase,Extracellular Space,cytokine,,,,,,,,,,,,,,
C11ORF96,-2.498,3.28e-13,0,0,0,chromosome 11 open reading frame 96,Other,other,,,,,,,,,,,,,,
IVL,2.126,3.63e-13,0,0,0,involucrin,Cytoplasm,other,,,,,,,,,,,,,,
PHLDA1,-2.165,3.77e-13,0,0,0,pleckstrin homology like domain family A member 1,Cytoplasm,other,,,,,,,,,,,,,,
SOCS2,-2.121,3.82e-13,0,0,0,suppressor of cytokine signaling 2,Cytoplasm,other,,,,,,,,,,,,,,
GBP6,2.002,3.9e-13,0,0,0,guanylate binding protein family member 6,Other,other,,,,,,,,,,,,,,
RSPO3,-2.177,4.67e-13,0,0,0,R-spondin 3,Extracellular Space,kinase,,,,,,,,,,,,,,
PKP3,2.11,4.82e-13,0,0,0,plakophilin 3,Plasma Membrane,other,,,,,,,,,,,,,,
LTF,3.551,5.43e-13,0,0,0,lactotransferrin,Extracellular Space,other,,,,,,,,,,,,,,
CD52,2.007,6.21e-13,0,0,0,CD52 molecule,Plasma Membrane,other,,,,,,,,,,,,,,
PCDH9,-2.072,6.48e-13,0,0,0,protocadherin 9,Plasma Membrane,other,,,,,,,,,,,,,,
THBS1,-2.361,6.99e-13,0,0,0,thrombospondin 1,Extracellular Space,other,,,,,,,,,,,,,,
FADS1,-2.874,7e-13,0,0,0,fatty acid desaturase 1,Plasma Membrane,enzyme,,,,,,,,,,,,,,
SF1,-2.144,7.27e-13,0,0,0,splicing factor 1,Nucleus,transcription regulator,,,,,,,,,,,,,,
MMP1,2.981,7.66e-13,0,0,0,matrix metallopeptidase 1,Extracellular Space,peptidase,,,,,,,,,,,,,,
SDR9C7,2.175,9.73e-13,0,0,0,short chain dehydrogenase/reductase family 9C member 7,Other,enzyme,,,,,,,,,,,,,,
ERAP2,2.125,1.01e-12,0,0,0,endoplasmic reticulum aminopeptidase 2,Cytoplasm,peptidase,,,,,,,,,,,,,,
