Gene,logFC,pvalue,literature_mentions,document_occurrences,cooccurrence_score,Entrez Gene Name,Location,Type(s),Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19
TREX2,4.025,6.87e-35,0,0,0,three prime repair exonuclease 2,Nucleus,enzyme,,,,,,,,,,,,,,
FOS,-4.924,8.19e-35,0,0,0,"Fos proto-oncogene, AP-1 transcription factor subunit",Nucleus,transcription regulator,,,,,,,,,,,,,,
DLGAP5,2.945,1.0599999999999999e-34,0,0,0,DLG associated protein 5,Nucleus,other,,,,,,,,,,,,,,
SLC5A1,3.142,1.9399999999999997e-34,0,0,0,solute carrier family 5 member 1,Plasma Membrane,transporter,,,,,,,,,,,,,,
CXCL9,5.643,2.13e-34,0,0,0,C-X-C motif chemokine ligand 9,Extracellular Space,cytokine,,,,,,,,,,,,,,
NLRX1,2.537,2.33e-34,0,0,0,NLR family member X1,Cytoplasm,other,,,,,,,,,,,,,,
BIRC5,2.62,3.4599999999999998e-34,0,0,0,baculoviral IAP repeat containing 5,Cytoplasm,other,,,,,,,,,,,,,,
PPARGC1A,-3.321,3.96e-34,0,0,0,PPARG coactivator 1 alpha,Nucleus,transcription regulator,,,,,,,,,,,,,,
LCN2,4.917,5.02e-34,0,0,0,lipocalin 2,Extracellular Space,transporter,,,,,,,,,,,,,,
ZNF677,-2.153,1.6100000000000002e-33,0,0,0,zinc finger protein 677,Other,other,,,,,,,,,,,,,,
CCNB1,3.005,1.77e-33,0,0,0,cyclin B1,Cytoplasm,enzyme,,,,,,,,,,,,,,
SMPD3,2.184,2.6500000000000002e-33,0,0,0,sphingomyelin phosphodiesterase 3,Cytoplasm,enzyme,,,,,,,,,,,,,,
TRIP13,2.422,3.1e-33,0,0,0,thyroid hormone receptor interactor 13,Cytoplasm,transcription regulator,,,,,,,,,,,,,,
MELK,2.28,3.68e-33,0,0,0,maternal embryonic leucine zipper kinase,Cytoplasm,kinase,,,,,,,,,,,,,,
SAMD9,2.946,4.3e-33,0,0,0,sterile alpha motif domain containing 9,Cytoplasm,other,,,,,,,,,,,,,,
CD24P4,3.335,4.5600000000000005e-33,0,0,0,CD24 molecule pseudogene 4,Plasma Membrane,other,,,,,,,,,,,,,,
MKI67,2.774,6.57e-33,0,0,0,marker of proliferation Ki-67,Nucleus,other,,,,,,,,,,,,,,
HSD17B1,2.462,1.14e-32,0,0,0,hydroxysteroid 17-beta dehydrogenase 1,Cytoplasm,enzyme,,,,,,,,,,,,,,
SMOX,2.096,1.5600000000000002e-32,0,0,0,spermine oxidase,Cytoplasm,enzyme,,,,,,,,,,,,,,
RTP4,3.407,1.6100000000000002e-32,0,0,0,receptor transporter protein 4,Plasma Membrane,other,,,,,,,,,,,,,,
SLC6A14,3.197,2.14e-32,0,0,0,solute carrier family 6 member 14,Plasma Membrane,transporter,,,,,,,,,,,,,,
FEN1,2.422,3.13e-32,0,0,0,flap structure-specific endonuclease 1,Nucleus,enzyme,,,,,,,,,,,,,,
TMPRSS4,3.162,3.21e-32,0,0,0,transmembrane serine protease 4,Extracellular Space,peptidase,,,,,,,,,,,,,,
YIF1B,2.643,3.32e-32,0,0,0,"Yip1 interacting factor homolog B, membrane trafficking protein",Cytoplasm,other,,,,,,,,,,,,,,
ATP12A,4.871,4.6200000000000004e-32,0,0,0,ATPase H+/K+ transporting non-gastric alpha2 subunit,Plasma Membrane,transporter,,,,,,,,,,,,,,
RASD1,-2.528,5.330000000000001e-32,0,0,0,ras related dexamethasone induced 1,Cytoplasm,enzyme,,,,,,,,,,,,,,
RRM2,3.12,7.1e-32,0,0,0,ribonucleotide reductase regulatory subunit M2,Cytoplasm,enzyme,,,,,,,,,,,,,,
AURKB,2.215,9.100000000000001e-32,0,0,0,aurora kinase B,Nucleus,kinase,,,,,,,,,,,,,,
TMEM54,2.13,9.41e-32,0,0,0,transmembrane protein 54,Other,other,,,,,,,,,,,,,,
POLR3G,2.21,1.55e-31,0,0,0,RNA polymerase III subunit G,Nucleus,enzyme,,,,,,,,,,,,,,
ESYT3,2.305,3.79e-31,0,0,0,extended synaptotagmin 3,Plasma Membrane,other,,,,,,,,,,,,,,
IFI44L,3.574,3.85e-31,0,0,0,interferon induced protein 44 like,Nucleus,other,,,,,,,,,,,,,,
IFI27,3.204,3.8900000000000003e-31,3,1,1,interferon alpha inducible protein 27,Cytoplasm,other,,,,,,,,,,,,,,
RSAD2,4.097,5.48e-31,0,0,0,radical S-adenosyl methionine domain containing 2,Cytoplasm,enzyme,,,,,,,,,,,,,,
DNASE1L3,2.259,6.45e-31,0,0,0,deoxyribonuclease 1L3,Nucleus,enzyme,,,,,,,,,,,,,,
PCGF5,2.078,8.11e-31,0,0,0,polycomb group ring finger 5,Cytoplasm,enzyme,,,,,,,,,,,,,,
MREG,2.246,9.010000000000001e-31,0,0,0,melanoregulin,Cytoplasm,other,,,,,,,,,,,,,,
ZBTB10,-2.064,9.450000000000001e-31,0,0,0,zinc finger and BTB domain containing 10,Nucleus,transcription regulator,,,,,,,,,,,,,,
BAG4,-2.2,1.25e-30,0,0,0,BAG cochaperone 4,Cytoplasm,other,,,,,,,,,,,,,,
ZNF415,-2.023,1.93e-30,0,0,0,zinc finger protein 415,Nucleus,transcription regulator,,,,,,,,,,,,,,
ARSF,2.847,2.02e-30,0,0,0,arylsulfatase F,Extracellular Space,enzyme,,,,,,,,,,,,,,
FABP5,2.132,2.38e-30,0,0,0,fatty acid binding protein 5,Cytoplasm,transporter,,,,,,,,,,,,,,
SOX5,-2.224,2.4599999999999998e-30,0,0,0,SRY-box transcription factor 5,Nucleus,transcription regulator,,,,,,,,,,,,,,
GADD45B,-2.752,2.9699999999999998e-30,0,0,0,growth arrest and DNA damage inducible beta,Cytoplasm,other,,,,,,,,,,,,,,
SPATA20,2.066,4.13e-30,0,0,0,spermatogenesis associated 20,Cytoplasm,other,,,,,,,,,,,,,,
KIF27,-2.467,4.1699999999999995e-30,0,0,0,kinesin family member 27,Cytoplasm,other,,,,,,,,,,,,,,
DDIT3,-2.215,4.8399999999999994e-30,0,0,0,DNA damage inducible transcript 3,Nucleus,transcription regulator,,,,,,,,,,,,,,
PCLAF,3.057,5.5399999999999995e-30,0,0,0,PCNA clamp associated factor,Nucleus,other,,,,,,,,,,,,,,
TRIM14,2.019,6.1599999999999994e-30,0,0,0,tripartite motif containing 14,Cytoplasm,enzyme,,,,,,,,,,,,,,
TYMP,3.639,7.02e-30,0,0,0,thymidine phosphorylase,Cytoplasm,enzyme,,,,,,,,,,,,,,
VNN1,3.457,7.83e-30,0,0,0,vanin 1,Plasma Membrane,enzyme,,,,,,,,,,,,,,
KLK10,2.644,7.86e-30,0,0,0,kallikrein related peptidase 10,Extracellular Space,peptidase,,,,,,,,,,,,,,
BCL2A1,2.582,9.729999999999999e-30,0,0,0,BCL2 related protein A1,Cytoplasm,other,,,,,,,,,,,,,,
SPRR2G,4.132,9.739999999999999e-30,0,0,0,small proline rich protein 2G,Cytoplasm,other,,,,,,,,,,,,,,
PLCB4,-2.374,1.0000000000000001e-29,0,0,0,phospholipase C beta 4,Cytoplasm,enzyme,,,,,,,,,,,,,,
SLC26A9,3.21,1.0100000000000001e-29,0,0,0,solute carrier family 26 member 9,Plasma Membrane,transporter,,,,,,,,,,,,,,
KMT2A,-2.136,1.0700000000000001e-29,0,0,0,lysine methyltransferase 2A,Nucleus,enzyme,,,,,,,,,,,,,,
VNN3P,3.484,1.2400000000000001e-29,0,0,0,"vanin 3, pseudogene",Extracellular Space,enzyme,,,,,,,,,,,,,,
KLHL24,-2.189,1.36e-29,0,0,0,kelch like family member 24,Plasma Membrane,other,,,,,,,,,,,,,,
AFTPH-DT,2.093,1.5e-29,0,0,0,AFTPH divergent transcript,Other,other,,,,,,,,,,,,,,
STAT1,3.222,1.9300000000000002e-29,1,1,1,signal transducer and activator of transcription 1,Nucleus,transcription regulator,,,,,,,,,,,,,,
APOBEC3B,2.967,1.9400000000000002e-29,0,0,0,apolipoprotein B mRNA editing enzyme catalytic subunit 3B,Nucleus,enzyme,,,,,,,,,,,,,,
CDKN3,2.815,2.0000000000000002e-29,0,0,0,cyclin dependent kinase inhibitor 3,Cytoplasm,phosphatase,,,,,,,,,,,,,,
BRIP1,2.107,2.56e-29,0,0,0,BRCA1 interacting helicase 1,Nucleus,enzyme,,,,,,,,,,,,,,
GBP1,2.226,2.69e-29,1,1,1,guanylate binding protein 1,Cytoplasm,enzyme,,,,,,,,,,,,,,
OIP5,2.19,3.2e-29,0,0,0,Opa interacting protein 5,Nucleus,other,,,,,,,,,,,,,,
RAB27A,2.191,3.43e-29,0,0,0,"RAB27A, member RAS oncogene family",Cytoplasm,enzyme,,,,,,,,,,,,,,
TYMS,2.623,3.59e-29,0,0,0,thymidylate synthetase,Nucleus,enzyme,,,,,,,,,,,,,,
SPC25,2.408,4.5600000000000004e-29,0,0,0,SPC25 component of NDC80 kinetochore complex,Cytoplasm,other,,,,,,,,,,,,,,
GABARAPL1,-2.008,1.03e-28,0,0,0,GABA type A receptor associated protein like 1,Cytoplasm,other,,,,,,,,,,,,,,
ZFP36L1,-2.217,1.25e-28,0,0,0,ZFP36 ring finger protein like 1,Nucleus,transcription regulator,,,,,,,,,,,,,,
C12ORF56,2.278,1.2799999999999999e-28,0,0,0,chromosome 12 open reading frame 56,Other,other,,,,,,,,,,,,,,
SLC2A3,-2.879,1.38e-28,0,0,0,solute carrier family 2 member 3,Plasma Membrane,transporter,,,,,,,,,,,,,,
RIMS3,2.465,1.51e-28,0,0,0,regulating synaptic membrane exocytosis 3,Plasma Membrane,other,,,,,,,,,,,,,,
