Entrez Gene Name,Gene Symbol - human (HUGO / HGNC / Entrez Gene),Expr Log Ratio,Expr p-value,Location,Type(s),,,,,,,,,,,,,,
carbonic anhydrase 4,CA4,-2.328,4.23E-11,Plasma Membrane,enzyme,,,,,,,,,,,,,,
calcium homeostasis modulator family member 6,CALHM6,2.143,3.29E-16,Plasma Membrane,transporter,,,,,,,,,,,,,,
calcium/calmodulin dependent protein kinase II inhibitor 1,CAMK2N1,-2.046,1.26E-15,Plasma Membrane,kinase,,,,,,,,,,,,,,
calcium regulated heat stable protein 1,CARHSP1,2.755,2.64E-40,Cytoplasm,transcription regulator,,,,,,,,,,,,,,
caveolae associated protein 2,CAVIN2,-2.062,4.19E-15,Plasma Membrane,other,,,,,,,,,,,,,,
C-C motif chemokine ligand 13,CCL13,2.259,1.17E-08,Extracellular Space,cytokine,,,,,,,,,,,,,,
C-C motif chemokine ligand 18,CCL18,3.482,2.24E-12,Extracellular Space,cytokine,,,,,,,,,,,,,,
C-C motif chemokine ligand 22,CCL22,2.297,1.86E-14,Extracellular Space,cytokine,,,,,,,,,,,,,,
C-C motif chemokine ligand 27,CCL27,-2.218,4.60E-11,Extracellular Space,cytokine,,,,,,,,,,,,,,
cellular communication network factor 1,CCN1,-3.396,2.69E-26,Extracellular Space,other,,,,,,,,,,,,,,
cyclin A2,CCNA2,2.289,5.48E-27,Nucleus,other,,,,,,,,,,,,,,
cyclin B2,CCNB2,2.043,5.21E-26,Cytoplasm,other,,,,,,,,,,,,,,
cyclin L1,CCNL1,-2.096,5.52E-12,Nucleus,other,,,,,,,,,,,,,,
C-C motif chemokine receptor 7,CCR7,3.012,8.26E-19,Plasma Membrane,G-protein coupled receptor,,,,,,,,,,,,,,
CD2 molecule,CD2,3.122,9.02E-22,Plasma Membrane,transmembrane receptor,,,,,,,,,,,,,,
CD24 molecule,CD24,2.178,6.49E-39,Plasma Membrane,other,,,,,,,,,,,,,,
